#GO	IC	Frequency
GO:1990530	7.374410922912042	4.222688807155633e-08
GO:0015368	4.043486781059657	9.047179748849834e-05
GO:0044079	8.473805167236682	3.358882663114035e-09
GO:0060872	5.910324081842272	1.2293510546997366e-06
GO:0061823	7.073380927248061	8.445377614311267e-08
GO:0043489	4.857434694945413	1.3885620929313419e-05
GO:0090677	6.850555876838782	1.4107307185078946e-07
GO:0016235	5.104261649669072	7.865717605328994e-06
GO:0046588	6.850555876838782	1.4107307185078946e-07
GO:0047455	8.69878852600695	2.000835913229501e-09
GO:0072453	8.69878852600695	2.000835913229501e-09
GO:1901341	5.37793871375814	4.188526680903201e-06
GO:0098915	5.8363154377241715	1.4577550757914911e-06
GO:0019643	8.1727751715727	6.71776532622807e-09
GO:0075271	8.473805167236682	3.358882663114035e-09
GO:0034743	8.415803608070267	3.838808006505121e-09
GO:0052045	8.415803608070267	3.838808006505121e-09
GO:0048054	7.473805167236683	3.3588826631140344e-08
GO:0047404	8.69878852600695	2.000835913229501e-09
GO:1905033	6.465204995474765	3.4260603163763155e-07
GO:0072360	8.473805167236682	3.358882663114035e-09
GO:0031284	6.139351416085752	7.255186552326315e-07
GO:0061794	8.473805167236682	3.358882663114035e-09
GO:0036331	8.473805167236682	3.358882663114035e-09
GO:0017184	8.473805167236682	3.358882663114035e-09
GO:2000240	8.473805167236682	3.358882663114035e-09
GO:0033350	8.473805167236682	3.358882663114035e-09
GO:0090407	1.3232318755918195	0.04750815058909545
GO:1901418	7.394623921189058	4.0306591957368415e-08
GO:0030785	5.982785182372151	1.0404346748793405e-06
GO:1902988	8.473805167236682	3.358882663114035e-09
GO:0051548	6.905603443169688	1.242786585352193e-07
GO:0019724	5.311539552938661	4.8804565095046925e-06
GO:0061654	6.8066939233164705	1.5606520123190105e-07
GO:0102997	8.69878852600695	2.000835913229501e-09
GO:0140908	6.906396836508697	1.2405182662022906e-07
GO:0044406	2.611327921836212	0.0024472147306916236
GO:0070913	7.57070556805601	2.687165604553585e-08
GO:0070057	7.3018602557634305	4.9904504084566575e-08
GO:0016790	3.197366361707574	0.0006347952060107576
GO:0120258	8.1727751715727	6.71776532622807e-09
GO:0015325	8.69878852600695	2.000835913229501e-09
GO:1902806	4.531350640894206	2.942045324621583e-05
GO:0003106	7.774835162900664	1.6794413315570172e-08
GO:2000088	8.473805167236682	3.358882663114035e-09
GO:1905275	8.473805167236682	3.358882663114035e-09
GO:0001601	6.378642239895896	4.1817470586496565e-07
GO:2000495	6.432412482078457	3.6947709294254384e-07
GO:1903071	5.951360933730363	1.1185079268169736e-06
GO:0034669	6.347617746324105	4.491405367610992e-07
GO:0071328	8.473805167236682	3.358882663114035e-09
GO:2000055	6.830352490750495	1.4779083717701752e-07
GO:0080116	6.8354656658864945	1.4606102166575357e-07
GO:0061100	6.87174517590872	1.3435530652456138e-07
GO:0061264	8.473805167236682	3.358882663114035e-09
GO:1903936	6.060505403155431	8.699506097465349e-07
GO:0006688	5.086771465954319	8.188955932672016e-06
GO:0015071	8.473805167236682	3.358882663114035e-09
